time,200,500,302 
0,42,,11 
10,103,,28 
20,153,,41 
30,247,,72 
40,359,,103 
50,424,,124 
60,593,,170 
70,782,,231 
80,999,,289 
90,1309,,394 
100,1662,,495 
110,2120,,602 
120,2852,,818 
130,3533,,1043 
140,4350,,1293 
150,5561,,1654 
160,7155,,2155 
170,8837,,2680 
180,11152,,3358 
190,14267,,4315 
200,17581,,5329 
210,22560,,6736 
220,28666,,8637 
230,35122,,10592 
240,44482,,13333 
250,56575,,16998 
260,69513,,20910 
270,85189,,25559 
280,102134,,30567 
290,118962,59,35441 
300,134858,161,40520 
310,140825,161,42943 
320,141437,161,43344 
330,141438,161,43345 
