time,freemem@tsung_controller@ip-172-31-52-155 
0,672.2578125 
10,672.2578125 
20,673.16015625 
30,673.16015625 
40,673.16015625 
50,673.16015625 
60,673.16015625 
70,673.16015625 
80,673.16015625 
90,673.16015625 
100,673.16015625 
110,673.16015625 
120,673.16015625 
130,673.16015625 
140,673.16015625 
150,673.16015625 
160,673.16015625 
170,673.16015625 
180,673.16015625 
190,673.16015625 
200,673.16015625 
210,673.16015625 
220,673.16015625 
230,673.16015625 
240,673.16015625 
247,673.16015625 
