time,freemem@tsung_controller@ip-172-31-59-214 
0,671.90234375 
10,671.90234375 
20,671.90234375 
30,671.90234375 
40,671.90234375 
50,671.90234375 
60,671.90234375 
70,671.90234375 
80,671.90234375 
90,671.90234375 
100,671.90234375 
110,671.90234375 
120,671.90234375 
130,671.90234375 
140,671.90234375 
150,671.8671875 
160,665.67578125 
170,660.83203125 
180,660.83203125 
190,660.62890625 
200,660.62890625 
210,659.1015625 
220,656.9921875 
230,656.9921875 
240,656.6796875 
250,656.10546875 
260,654.7421875 
270,652.37109375 
