time,users_count,finish_users_count 
0,0.6,0.3 
10,1.3,1.4 
20,1.1,1.3 
30,1.8,1.5 
40,2.1,1.9 
50,1.7,1.8 
60,3.8,3.3 
70,2.6,2.8 
80,4,3.5 
90,7.6,6.6 
100,6.9,7.8 
110,6.4,6.6 
120,12.1,10.2 
130,15.9,15.9 
140,16.7,17.1 
150,31,26.1 
160,28,30.2 
170,31.3,30.2 
180,53.6,47 
190,61.9,61.7 
200,67.3,66.5 
210,110.5,99.3 
220,129,128.8 
230,122.3,121.2 
240,213.9,151.2 
250,243.6,244.4 
260,247,247.8 
270,450.9,400.9 
280,519,516.7 
290,509.2,501.7 
300,106.1,253.5 
310,0,0 
320,0,0 
330,0,0 
340,0,0 
350,0,0 
353,0,0 
