time,cpu@tsung_controller@ip-172-31-50-170 
0,7.671365333644216 
10,0.7992007992007992 
20,0.2001000500250125 
30,0.3001500750375188 
40,0.39980009995002497 
50,0.5002501250625313 
60,0.6503251625812907 
70,0.7996001999000499 
80,1.1988011988011988 
90,1.1511511511511512 
100,1.4955134596211366 
110,1.8924302788844622 
120,2.1934197407776668 
130,3.7332005973120954 
140,3.681592039800995 
150,2.902902902902903 
160,6.107249255213505 
170,8.559919436052366 
180,8.26281732205077 
190,10.35175879396985 
200,15.208428767750801 
210,21.924603174603174 
220,27.317798710956865 
230,31.589338598223097 
240,34.300919206579586 
250,24.430128840436076 
260,0.5499999999999999 
270,0.09995002498750624 
280,0.0 
290,0.15 
293,0.1 
