time,load@tsung_controller@ip-172-31-45-17 
0,0.01171875 
10,0.01171875 
20,0.01171875 
30,0.01171875 
40,0.01171875 
50,0.01171875 
60,0.16015625 
70,0.16015625 
80,0.16015625 
90,0.16015625 
100,0.16015625 
110,0.16015625 
120,0.16015625 
130,0.16015625 
140,0.16015625 
150,0.16015625 
160,0.16015625 
170,0.16015625 
180,0.16015625 
190,0.16015625 
200,0.16015625 
210,0.16015625 
220,0.26953125 
230,0.46875 
240,0.55078125 
250,0.55078125 
260,0.55078125 
270,0.55078125 
280,0.55078125 
290,0.55078125 
293,0.55078125 
